"size","gender","age","edu","wealth"
7,"2",4,"0","3"
7,"2",33,"3","3"
7,"2",21,"3","3"
7,"1",75,"0","3"
6,"2",64,"0","2"
8,"2",9,"1","1"
8,"1",7,"1","1"
8,"2",73,"0","1"
6,"1",0,"0","1"
7,"1",1,"0","3"
7,"2",71,"0","3"
7,"2",70,"0","1"
7,"2",59,"0","1"
6,"2",13,"2","3"
6,"2",81,"0","3"
6,"2",7,"1","2"
6,"2",55,"0","3"
10,"1",11,"1","2"
10,"2",60,"0","2"
10,"2",70,"0","2"
10,"1",32,"0","2"
10,"2",18,"1","2"
7,"2",6,"0","3"
7,"1",60,"0","3"
8,"2",17,"2","4"
8,"1",48,"3","4"
8,"1",15,"2","4"
6,"1",2,"0","2"
7,"1",12,"2","2"
7,"2",28,"3","2"
6,"2",26,"2","4"
6,"1",7,"1","4"
7,"1",90,"0","3"
7,"2",13,"2","3"
7,"2",28,"1","4"
7,"1",2,"0","4"
8,"2",23,"2","3"
8,"2",5,"0","3"
8,"1",1,"0","3"
9,"2",11,"1","5"
9,"2",32,"3","5"
9,"1",34,"3","5"
9,"1",2,"0","5"
6,"2",18,"2","4"
6,"1",3,"0","4"
7,"1",16,"1","2"
7,"1",33,"1","2"
7,"1",3,"0","1"
7,"2",1,"0","1"
6,"1",11,"1","3"
6,"2",66,"0","4"
8,"2",32,"1","4"
8,"2",22,"3","4"
8,"1",0,"0","4"
8,"1",18,"2","1"
8,"2",33,"1","1"
8,"1",13,"1","1"
7,"1",41,"2","5"
7,"1",15,"2","5"
8,"2",8,"1","1"
8,"2",6,"1","1"
8,"2",4,"0","1"
6,"2",81,"0","4"
10,"2",62,"0","4"
10,"2",51,"0","4"
10,"1",29,"1","4"
10,"2",21,"2","4"
10,"2",1,"0","4"
6,"2",83,"0","4"
6,"1",13,"1","5"
7,"2",22,"3","4"
7,"1",3,"0","4"
8,"1",17,"2","4"
8,"1",15,"2","4"
8,"2",10,"1","4"
6,"2",57,"0","2"
6,"1",0,"0","5"
8,"2",22,"3","5"
8,"1",20,"3","5"
8,"2",19,"3","5"
6,"2",23,"3","5"
6,"1",14,"2","5"
6,"2",15,"2","3"
7,"1",22,"2","4"
7,"2",19,"2","4"
7,"2",22,"2","4"
7,"1",24,"3","4"
7,"1",27,"1","4"
7,"2",21,"3","4"
10,"1",42,"3","4"
10,"1",12,"2","4"
10,"1",11,"1","4"
10,"2",57,"1","4"
10,"2",83,"0","4"
7,"1",11,"1","3"
7,"1",9,"1","3"
7,"1",25,"2","5"
7,"2",12,"2","5"
7,"2",13,"2","4"
7,"1",9,"1","4"
6,"2",76,"0","5"
6,"2",10,"1","5"
9,"1",3,"0","5"
9,"1",32,"2","5"
9,"2",20,"3","5"
9,"2",0,"0","5"
6,"2",92,"0","5"
7,"1",6,"0","5"
7,"1",31,"3","5"
13,"2",10,"1","5"
13,"1",34,"3","5"
13,"2",30,"3","5"
13,"1",5,"1","5"
13,"2",0,"0","5"
13,"2",39,"3","5"
13,"2",22,"1","5"
13,"1",35,"1","5"
8,"2",38,"3","5"
8,"2",14,"2","5"
8,"2",8,"1","5"
6,"2",58,"3","5"
10,"2",11,"2","5"
10,"1",42,"3","5"
10,"2",38,"3","5"
10,"1",11,"2","5"
10,"2",6,"1","5"
12,"2",7,"1","5"
12,"2",7,"1","5"
12,"1",37,"2","5"
12,"2",36,"0","5"
12,"2",31,"0","5"
12,"1",44,"2","5"
12,"1",21,"2","5"
6,"2",65,"2","5"
9,"1",7,"1","5"
9,"1",27,"2","5"
9,"2",16,"2","5"
9,"2",16,"2","5"
7,"2",5,"0","5"
7,"2",16,"2","5"
8,"1",2,"0","4"
8,"1",0,"0","4"
8,"2",60,"0","4"
6,"2",0,"0","4"
6,"1",32,"3","5"
6,"1",10,"1","5"
6,"2",60,"1","5"
6,"1",0,"0","5"
6,"1",20,"3","5"
8,"1",4,"0","5"
8,"2",1,"0","5"
8,"2",24,"8","5"
11,"2",7,"1","4"
11,"1",4,"0","4"
11,"1",28,"2","4"
11,"2",20,"2","4"
11,"2",0,"0","4"
11,"1",25,"2","4"
6,"1",20,"3","5"
