prices,address,no_beds,baths,sqft
877300, 22390 Macfarlane Dr Woodland Hills CA 91364 ,3,2,1758
838900, 4763 Excelente Dr Woodland Hills CA 91364 ,3,2,1425
592200, 14860 Lilac Rd Panorama City CA 91402 ,3,3,1613
538900, 13548 Weidner St Pacoima CA 91331 ,2,1,859
829900, 1120 N El Centro Ave APT 8 Los Angeles CA 90038 ,2,3,1420
624000, 6400 Crescent Park E APT 322 Playa Vista CA 90094 ,1,1,790
965000, 852 N Poinsettia Pl APT 6 Los Angeles CA 90046 ,3,3,1587
319900, 7641 Reseda Blvd UNIT 124-Z Los Angeles CA 91335 ,2,2,779
544900, 4021 S Pacific Ave APT 3 Los Angeles CA 90731 ,2,3,1121
369900, 21400 Burbank Blvd APT 305 Woodland Hills CA 91367 ,1,1,740
534900, 11044 Acama St UNIT 109 North Hollywood CA 91602 ,2,2,1150
889900, 1135 S Shenandoah St UNIT 402 Los Angeles CA 90035 ,3,3,1583
629900, 11733 Avon Way APT 103 Los Angeles CA 90066 ,2,2,850
579900, 400 S La Fayette Park Pl APT 116 Los Angeles CA 90057 ,2,2,1238
641900, 14050 Magnolia Blvd APT 315 Sherman Oaks CA 91423 ,2,2,1306
949900, 1920 S Beverly Glen Blvd APT 303 Los Angeles CA 90025 ,2,3,1643
895000, 11752 Dorothy St APT 104 Los Angeles CA 90049 ,2,3,1366
889900, 852 N Poinsettia Pl APT 2 Los Angeles CA 90046 ,3,3,1623
260000, 2610 Onyx Dr Los Angeles CA 90032 ,4,3,2200
699900, 14412 Killion St UNIT 103 Sherman Oaks CA 91401 ,3,3,1620
745000, 1409 S Saltair Ave APT 103 Los Angeles CA 90025 ,2,2,1221
549900, 740 N Kings Rd APT 319 West Hollywood CA 90069 ,1,1,667
470000, 653 N Laurel Ave Los Angeles CA 90048 ,4,6,4600
999000, 22301 Cass Ave Woodland Hills CA 91364 ,4,4,2288
46500000, 1426 Summitridge Dr Beverly Hills CA 90210 ,6,9,2104
4475000, 3023 Elvill Dr Los Angeles CA 90049 ,7,7,5000
5495000, 5074 Casa Dr Tarzana CA 91356 ,6,9,8713
799000, 1806 Barrywood Ave San Pedro CA 90731 ,4,2,1320
2895000, 347 N Crescent Heights Blvd Los Angeles CA 90048 ,4,4,3308
13995000, 1814 N Doheny Dr Los Angeles CA 90069 ,5,7,8290
7888000, 4453 Balboa Ave Encino CA 91316 ,6,7,8123
7495000, 16766 Bosque Dr Encino CA 91436 ,5,9,8500
9995000, 161 Ashdale Pl Los Angeles CA 90049 ,7,7,6545
5250000, 12148 Travis St Los Angeles CA 90049 ,6,7,5056
3399000, 2389 Hercules Dr Los Angeles CA 90046 ,5,4,4040
10995000, 971 Linda Flora Dr Los Angeles CA 90049 ,5,5,8364
1175000, 10511 Johanna Ave Sunland CA 91040 ,3,3,2727
180000, 13691 Gavina Ave Sylmar CA 91342 ,3,2,1554
15995000, 2304 Donella Cir Los Angeles CA 90077 ,8,11,11624
2395000, 3779 Berry Dr Studio City CA 91604 ,5,6,8000
14450000, 7631 Willow Glen Rd Los Angeles CA 90046 ,6,8,1006
420000, 21500 Lassen St #28 Chatsworth CA 91311 ,4,3,2108
435000, 7740 Redlands St UNIT G2094 Los Angeles CA 90293 ,1,1,718
435000, 5059 1/2 Shipley Glen Dr Los Angeles CA 90042 ,2,1,720
699000, 12501 Terra Bella St Pacoima CA 91331 ,4,2,2087
17995000, 1054 Angelo Dr Los Angeles CA 90210 ,6,8,1050
3795000, 5041 Noeline Ave Encino CA 91436 ,5,7,5264
465000, 7742 Redlands St UNIT H3025 Los Angeles CA 90293 ,1,1,722
29500000, 1305 Collingwood Pl Los Angeles CA 90069 ,6,8,1180
169900, 13691 Gavina Ave UNIT 470 Sylmar CA 91342 ,3,2,1540
2750000, 11958 Hartsook St Valley Village CA 91607 ,5,6,3808
948000, 1949 Kemper Cir Los Angeles CA 90065 ,3,2,1854
14995000, 9200 Swallow Dr Los Angeles CA 90069 ,7,8,8434
799500, 4954 Topanga Canyon Blvd Woodland Hills CA 91364 ,3,2,1800
17499000, 815 Paseo Miramar Pacific Palisades CA 90272 ,7,12,11815
5275000, 356 N Alfred St Los Angeles CA 90048 ,5,6,5682
99000000, 908 Bel Air Rd Los Angeles CA 90077 ,9,20,34000
5450000, 6201 Rodgerton Dr Los Angeles CA 90068 ,5,8,6359
1400000, 4688 Cerrillos Dr Woodland Hills CA 91364 ,4,3,2000
58000000, 1251 Tower Grove Dr Beverly Hills CA 90210 ,9,12,14500
1200000, 3115 Minnesota St Los Angeles CA 90031 ,3,4,1722
536000, 519 Neva Pl Los Angeles CA 90042 ,2,1,669
724900, 10427 Monogram Ave Granada Hills CA 91344 ,3,2,1462
9995000, 16701 Bajio Ct Encino CA 91436 ,6,8,9000
779000, 629 Traction Ave APT 106 Los Angeles CA 90013 ,2,2,1280
10900000, 1807 Blue Heights Dr Los Angeles CA 90069 ,5,6,5540
46000000, 277 Saint Pierre Rd Los Angeles CA 90077 ,8,20,36000
349000, 2262 1/2 Fargo St Los Angeles CA 90039 ,1,1,462
